user,item,timestamp,state_label,source_outgoing_tx_count,source_incoming_tx_count,source_incoming_value_list,source_outgoing_value_list,source_incoming_tx_volume,source_outgoing_tx_volume,source_incoming_value_variance,source_outgoing_value_variance,source_activity_rate,source_change_in_activity,source_time_since_last,source_tx_volume,source_ico_participation,source_flash_loan,source_token_airdrop,source_phishing,source_frequent_large_transfers,source_gas_price,source_token_swaps,source_smart_contract_interactions,source_last_transaction_block,target_outgoing_tx_count,target_incoming_tx_count,target_incoming_value_list,target_outgoing_value_list,target_incoming_tx_volume,target_outgoing_tx_volume,target_incoming_value_variance,target_outgoing_value_variance,target_activity_rate,target_change_in_activity,target_time_since_last,target_tx_volume,target_ico_participation,target_flash_loan,target_token_airdrop,target_phishing,target_frequent_large_transfers,target_gas_price,target_token_swaps,target_smart_contract_interactions,target_last_transaction_block
0x943Dc8Ab36D0d3D78100730CfCf556471165D941,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1695113459,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,9,0,False,False,False,False,False,0,0,0,18168881,0,1,[500000000000000000],[],500000000000000000,0,0,0,0.047619047619047616,1,19,500000000000000000,False,False,False,False,False,0,0,0,18168871
0x8c33EDc5f0BAcfBE5ADA8571b029702d0aEC7BFc,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1695113567,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,0,0,False,False,False,False,False,0,0,0,18168890,0,1,[500000000000000000],[],500000000000000000,0,0,0,0.047619047619047616,1,19,500000000000000000,False,False,False,False,False,0,0,0,18168871
0x0db8D7eb669a9401dBe670bB76E00B77158A520F,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1695113567,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,0,0,False,False,False,False,False,0,0,0,18168890,0,1,[500000000000000000],[],500000000000000000,0,0,0,0.047619047619047616,1,19,500000000000000000,False,False,False,False,False,0,0,0,18168871
0x91aaE0aAfd9D2d730111b395c6871f248d7Bd728,0x98C3d3183C4b8A650614ad179A1a98be0a8d6B8E,1695113411,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,13,0,False,False,False,False,False,0,0,0,18168877,0,1,[0],[],0,0,0,0,0.047619047619047616,1,13,0,False,False,False,False,False,0,0,0,18168877
0x91aaE0aAfd9D2d730111b395c6871f248d7Bd728,0x91aaE0aAfd9D2d730111b395c6871f248d7Bd728,1695113555,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,13,0,False,False,False,False,False,0,0,0,18168877,1,0,[],[0],0,0,0,0,0.047619047619047616,1,13,0,False,False,False,False,False,0,0,0,18168877
0x17C69ba00d7DEcaaDC3a62Ccf3aC4B8577560167,0xBEE709aa42375acE642338F7f657ff859a19c9bC,1695113375,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,16,0,False,False,False,False,False,0,0,0,18168874,0,1,[0],[],0,0,0,0,0.047619047619047616,1,16,0,False,False,False,False,False,0,0,0,18168874
0xa377aa6822603Cc52e4e9ed6eaa045c46Ef6b3E2,0x92e929d8B2c8430BcAF4cD87654789578BB2b786,1695113435,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,11,0,False,False,False,False,False,0,0,0,18168879,0,1,[0],[],0,0,0,0,0.047619047619047616,1,11,0,False,False,False,False,False,0,0,0,18168879
0x43e4715ae093a4C86B5eCdDb52216c4f879e9672,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,1695113375,1520130,1,0,[],[1520130],0,1520130,0,0,0.047619047619047616,1,16,1520130,False,False,False,False,False,0,0,0,18168874,0,1,[7055110],[],7055110,0,0,0,0.047619047619047616,1,16,7055110,False,False,False,False,False,0,0,0,18168874
0xF493dd745C9463969e6CAb5736CE3E1f8904C1ca,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1695113567,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,0,0,False,False,False,False,False,0,0,0,18168890,0,1,[500000000000000000],[],500000000000000000,0,0,0,0.047619047619047616,1,19,500000000000000000,False,False,False,False,False,0,0,0,18168871
0x4339889FD9dFCa20a423fbA011e9dfF1C856CAEb,0x9008D19f58AAbD9eD0D60971565AA8510560ab41,1695113351,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,18,0,False,False,False,False,False,0,0,0,18168872,0,1,[0],[],0,0,0,0,0.047619047619047616,1,18,0,False,False,False,False,False,0,0,0,18168872
